,trip_id,uniqueid,qmodegrouping_Bike,qmodegrouping_Bus,qmodegrouping_Car,qmodegrouping_Commuter Rail,qmodegrouping_Ferry,qmodegrouping_For-Hire Vehicle,qmodegrouping_Other,qmodegrouping_Subway,qmodegrouping_Walk,qsustainablemode_No,qsustainablemode_Yes
5177,15200182,10200182,0,0,1,0,0,0,0,0,0,1,0
5178,15200183,10200183,0,0,0,0,0,0,0,0,1,0,1
5179,15200187,10200187,0,0,1,0,0,0,0,0,0,1,0
5180,15200208,10200208,0,0,0,0,0,0,0,1,0,0,1
5181,15200214,10200214,0,0,1,0,0,0,0,0,0,1,0
5182,15200216,10200216,0,0,1,0,0,0,0,0,0,1,0
5183,15200224,10200224,0,0,1,0,0,0,0,0,0,1,0
5184,15200253,10200253,0,0,0,0,0,0,0,0,1,0,1
5185,15200257,10200257,0,0,1,0,0,0,0,0,0,1,0
5186,15200268,10200268,0,0,1,0,0,0,0,0,0,1,0
5187,15200330,10200330,0,0,0,0,0,0,1,0,0,1,0
5188,15200361,10200361,0,0,1,0,0,0,0,0,0,1,0
5189,15200371,10200371,0,0,0,0,0,0,0,0,1,0,1
5190,15200456,10200456,0,0,1,0,0,0,0,0,0,1,0
5191,15200469,10200469,0,0,0,0,0,0,0,0,1,0,1
5192,15200489,10200489,0,0,1,0,0,0,0,0,0,1,0
5193,15200505,10200505,0,1,0,0,0,0,0,0,0,0,1
5194,15200509,10200509,0,0,0,0,0,0,0,0,1,0,1
5195,15200513,10200513,0,0,1,0,0,0,0,0,0,1,0
5196,15200517,10200517,0,0,1,0,0,0,0,0,0,1,0
5197,15200567,10200567,0,0,0,0,0,0,0,0,1,0,1
5198,15200592,10200592,0,1,0,0,0,0,0,0,0,0,1
5199,15200598,10200598,0,0,0,0,0,0,0,0,1,0,1
5200,15200603,10200603,0,0,1,0,0,0,0,0,0,1,0
5201,15200610,10200610,0,0,1,0,0,0,0,0,0,1,0
5202,15200625,10200625,0,0,0,0,0,0,1,0,0,1,0
5203,15200638,10200638,0,0,1,0,0,0,0,0,0,1,0
5204,15200645,10200645,0,0,1,0,0,0,0,0,0,1,0
5205,15200681,10200681,0,0,1,0,0,0,0,0,0,1,0
5206,15200691,10200691,0,0,0,0,0,0,0,0,1,0,1
5207,15200704,10200704,0,0,1,0,0,0,0,0,0,1,0
